status	image	output	message	updated_at
Failed	10_revenue-tower-interior-1668163706150-2.jpg	clean-images/interior/10_revenue-tower-interior-1668163706150-2.jpg	Codex removal failed	2026-06-26T09:47:13+07:00
Done	exterior/02_-maritime-tower-exterior-1690519302980-1.jpg	clean-images/exterior/02_-maritime-tower-exterior-1690519302980-1.jpg	Watermark removed	2026-06-26T19:00:10+07:00
Done	exterior/02_148_menara-bca-grand-indonesia-menara-bca_20160914044200_57600.jpg	clean-images/exterior/02_148_menara-bca-grand-indonesia-menara-bca_20160914044200_57600.jpg	Watermark removed	2026-06-26T17:59:35+07:00
Done	exterior/02_168_the-vida-the-vida_20160914044737_44608.JPG	clean-images/exterior/02_168_the-vida-the-vida_20160914044737_44608.JPG	Watermark removed	2026-06-26T17:58:07+07:00
Done	exterior/02_176_wisma-77-wisma-77-tower-1_20160914044743_76034.JPG	clean-images/exterior/02_176_wisma-77-wisma-77-tower-1_20160914044743_76034.JPG	Watermark removed	2026-06-27T07:50:12+07:00
Done	exterior/02_180_wisma-bsg-wisma-bsg_20160914044747_20609.JPG	clean-images/exterior/02_180_wisma-bsg-wisma-bsg_20160914044747_20609.JPG	Watermark removed	2026-06-27T07:49:52+07:00
Done	exterior/02_184_grand-kebon-sirih-grand-kebon-sirih_20160914044029_93433.JPG	clean-images/exterior/02_184_grand-kebon-sirih-grand-kebon-sirih_20160914044029_93433.JPG	Watermark removed	2026-06-26T18:02:34+07:00
Done	exterior/02_19_wisma-mulia-2-wisma-mulia-2_20160914044821_18997.JPG	clean-images/exterior/02_19_wisma-mulia-2-wisma-mulia-2_20160914044821_18997.JPG	Watermark removed	2026-06-27T07:49:12+07:00
Done	exterior/02_201_alamanda-tower-alamanda-tower_20160914043710_91462.JPG	clean-images/exterior/02_201_alamanda-tower-alamanda-tower_20160914043710_91462.JPG	Watermark removed	2026-06-27T07:49:22+07:00
Done	exterior/02_202_antam-antam-tower-b_20160914043715_71878.JPG	clean-images/exterior/02_202_antam-antam-tower-b_20160914043715_71878.JPG	Watermark removed	2026-06-27T13:29:12+07:00
Done	exterior/02_204_beltway-office-park-beltway-office-park-tower-b_20160914043738_71942.JPG	clean-images/exterior/02_204_beltway-office-park-beltway-office-park-tower-b_20160914043738_71942.JPG	Watermark removed	2026-06-26T17:58:49+07:00
Done	exterior/02_205_beltway-office-park-beltway-office-park-tower-c_20160914043740_98029.JPG	clean-images/exterior/02_205_beltway-office-park-beltway-office-park-tower-c_20160914043740_98029.JPG	Watermark removed	2026-06-26T17:59:07+07:00
Done	exterior/02_206_cibis-tower-9-cibis-tower-9_20170125075337_94014.jpg	clean-images/exterior/02_206_cibis-tower-9-cibis-tower-9_20170125075337_94014.jpg	Watermark removed	2026-06-26T17:59:31+07:00
Done	exterior/02_207_gedung-ventura-gedung-ventura_20160914043930_90916.JPG	clean-images/exterior/02_207_gedung-ventura-gedung-ventura_20160914043930_90916.JPG	Watermark removed	2026-06-26T17:58:21+07:00
Done	exterior/02_208_gkm-tower-gkm-tower_20160914043832_94264.JPG	clean-images/exterior/02_208_gkm-tower-gkm-tower_20160914043832_94264.JPG	Watermark removed	2026-06-26T17:58:24+07:00
Done	exterior/02_209_graha-elnusa-graha-elnusa_20160914043947_14299.jpg	clean-images/exterior/02_209_graha-elnusa-graha-elnusa_20160914043947_14299.jpg	Watermark removed	2026-06-26T17:58:00+07:00
Done	exterior/02_210_graha-kanaan-graha-kanaan_20160914044000_39319.JPG	clean-images/exterior/02_210_graha-kanaan-graha-kanaan_20160914044000_39319.JPG	Watermark removed	2026-06-26T17:58:18+07:00
Done	exterior/02_211_wisma-mra-wisma-mra_20160914044810_44534.JPG	clean-images/exterior/02_211_wisma-mra-wisma-mra_20160914044810_44534.JPG	Watermark removed	2026-06-26T17:58:40+07:00
Done	exterior/02_212_graha-satria-tower-graha-satria-tower-1_20160914044017_58842.JPG	clean-images/exterior/02_212_graha-satria-tower-graha-satria-tower-1_20160914044017_58842.JPG	Watermark removed	2026-06-26T17:59:15+07:00
Done	exterior/02_213_graha-satria-tower-graha-satria-tower-2_20160914044018_27347.JPG	clean-images/exterior/02_213_graha-satria-tower-graha-satria-tower-2_20160914044018_27347.JPG	Watermark removed	2026-06-26T17:58:48+07:00
Done	exterior/02_214_graha-simatupang-graha-simatupang_20160914044021_29650.JPG	clean-images/exterior/02_214_graha-simatupang-graha-simatupang_20160914044021_29650.JPG	Watermark removed	2026-06-26T18:00:38+07:00
Done	exterior/02_215_manhattan-square-manhattan-square-tower-1_20160914044139_86578.JPG	clean-images/exterior/02_215_manhattan-square-manhattan-square-tower-1_20160914044139_86578.JPG	Watermark removed	2026-06-26T17:58:39+07:00
Done	exterior/02_216_menara-165-menara-165_20160914044151_15046.jpg	clean-images/exterior/02_216_menara-165-menara-165_20160914044151_15046.jpg	Watermark removed	2026-06-27T07:50:09+07:00
Done	exterior/02_217_menara-citibank-pondok-indah-menara-citibank-pondok-indah_20170125085018_76846.jpg	clean-images/exterior/02_217_menara-citibank-pondok-indah-menara-citibank-pondok-indah_20170125085018_76846.jpg	Watermark removed	2026-06-27T07:49:06+07:00
Done	exterior/02_218_metropolitan-tower-metropolitan-tower_20160914044318_93115.JPG	clean-images/exterior/02_218_metropolitan-tower-metropolitan-tower_20160914044318_93115.JPG	Watermark removed	2026-06-26T17:59:31+07:00
Done	exterior/02_219_oleos-2-oleos-2_20160914044340_77745.JPG	clean-images/exterior/02_219_oleos-2-oleos-2_20160914044340_77745.JPG	Watermark removed	2026-06-27T08:02:27+07:00
Done	exterior/02_220_palma-tower-palma-tower_20160914044400_89852.JPG	clean-images/exterior/02_220_palma-tower-palma-tower_20160914044400_89852.JPG	Watermark removed	2026-06-26T17:59:13+07:00
Done	exterior/02_221_perkantoran-hijau-arkadia-arkadia-tower-a_20160914044409_80225.jpg	clean-images/exterior/02_221_perkantoran-hijau-arkadia-arkadia-tower-a_20160914044409_80225.jpg	Watermark removed	2026-06-26T17:58:21+07:00
